Waktu,Samarinda,Balikpapan,Sendawar,Tarakan,Tanjungselor,Malinau,Palangkaraya,Purukcahu,Pangkalanbun,Banjarmasin,KotaBaru,Barabai,Pontianak,Ketapang,Sintang
Jan-01,162.7899998,144.9500003,179.1499987,84.99000013,92.15999973,84.98000044,129.6600004,128.6199998,131.5000007,151.6199988,102.6499995,191.260001,58.57000001,106.2799988,104.7500002
Feb-01,133.2200003,150.6799999,119.720001,38.64000016,52.84000027,59.16999975,162.57,147.7500008,42.57999951,144.1599999,117.9899996,120.1800002,31.76999997,51.93999991,76.04000014
Mar-01,82.97741677,90.60840816,118.1920762,132.7943065,120.7258916,141.647497,161.5577523,137.686089,61.22242305,61.35676557,98.5443661,95.99432737,64.71171244,96.8544117,100.3219995
Apr-01,101.9199987,94.1799996,119.0199997,83.9800002,76.58999914,110.42,219.6100012,138.5200002,76.50000021,108.9699988,32.7200001,73.14999979,80.38999963,141.5400006,213.0299992
May-01,19.10999993,16.9000003,80.43999934,101.61,77.33000073,184.6800015,76.98000014,98.89000016,90.93000004,25.30999976,26.70999985,19.46000011,67.56999938,48.62000024,122.97
Jun-01,133.4899999,111.0400005,83.63000055,32.17000026,39.2299996,46.9100005,66.74000035,81.79000062,32.77000035,45.44999942,74.47000045,101.5199997,43.6900001,62.28000014,36.72999972
Jul-01,30.99000033,32.00999991,44.65999961,81.03000048,73.02999991,87.1099993,51.85999984,56.19000039,58.63999945,41.73000016,18.14000018,53.51000042,4.339999959,73.1999999,75.28000066
Aug-01,78.87120386,93.62094046,100.3080834,71.40649284,44.48528618,71.53005051,46.95170209,36.24986343,60.51174506,47.57888628,61.80216757,47.92805103,-0.000959598,2.921809103,29.9688702
Sep-01,157.0700011,129.0600005,152.9699989,94.74000049,75.48000018,93.23999944,122.7700005,173.0499996,117.1599993,97.97000053,79.03000001,138.9999999,45.23999962,101.8199992,159.6699979
Oct-01,151.2755586,185.8131764,112.1254188,61.9074467,67.48109926,161.6884981,127.4061203,86.40807118,127.6125246,64.18727738,104.1081831,143.6978509,118.653628,116.5700128,129.5127958
Nov-01,102.7099992,107.0700002,101.8299996,46.89000022,50.45000009,126.0199998,116.1599994,80.55000004,139.9199995,72.64000025,114.3900002,132.1499999,50.23000023,103.9299991,109.9400013
Dec-01,105.6047523,105.5614266,108.6233207,28.15515771,36.10626399,74.99238429,45.86209425,85.08610842,79.87712579,76.71966026,118.8836574,133.5646072,51.47167121,141.5449125,81.83095685
Jan-02,68.6600004,107.92,167.5800005,31.75999963,29.27000001,60.33999991,190.4399977,133.0200016,126.8600004,346.989998,107.4700006,167.3600008,83.90999937,94.62000072,94.76999883
Feb-02,9.129999872,8.150000004,70.70999953,23.86999983,42.14000022,61.92999932,132.899999,89.4299998,75.7399998,129.1800005,57.0399996,60.96000023,86.58999987,52.18000039,52.81000006
Mar-02,11.2699999,18.54999979,97.05999987,25.9200002,37.43000016,58.44000056,80.74999993,98.85000034,116.230001,27.87999979,7.65999997,23.91000001,114.6999986,101.779999,115.0200006
Apr-02,45.25924161,40.60105196,146.5032165,60.95044732,70.1816344,71.12875897,153.637093,156.5067113,152.6801749,84.72110568,28.9831429,33.39908101,202.0422407,161.6811965,136.1605527
May-02,39.65999983,51.36000052,79.98999999,85.76000038,52.42999999,88.57999936,106.5399995,87.04000007,51.05000007,67.26000006,72.67000037,107.2799996,54.58000076,40.98000008,109.9499996
Jun-02,68.15999968,64.69999878,100.4200011,55.95000008,35.51999995,91.48000044,63.63999961,69.56000033,55.13000043,44.08999997,81.84000029,106.359999,39.64000012,55.66000085,126.9699992
Jul-02,27.75000017,26.73999996,39.72999991,41.04999971,32.3699999,149.4400009,47.18000071,35.3499998,25.46000013,47.48000039,43.55999944,50.15000068,0.699999988,10.31999981,49.84
Aug-02,48.13000041,43.1100002,139.669999,40.60000001,39.33000003,127.2099999,54.43999943,68.41000052,7.990000039,57.12000046,45.42,94.3599994,0,8.98999989,18.37
Sep-02,52.1800004,62.00999928,143.120001,67.77999943,43.86,100.6700003,52.46999994,109.3699998,26.75999954,112.1200001,52.47999985,69.11999968,0,22.77000016,19.20999992
Oct-02,59.40927312,69.99737408,127.3718269,102.2042926,77.90208145,122.7095885,113.8494826,94.45867529,60.26052727,62.70153089,31.82225403,70.03873916,25.75741865,53.57940545,73.52387789
Nov-02,143.4999994,160.2099996,147.6400006,74.28000024,71.03000033,108.3099993,132.4699999,100.7499993,128.5699978,103.6199999,101.3800003,146.8099999,68.57999982,109.4999985,152.4700024
Dec-02,73.48000096,66.18999963,144.9100003,23.24000034,35.97999978,56.56000039,102.9999996,135.4100008,147.3599991,81.73000002,57.17999979,85.6699999,80.26000007,184.0600003,81.57000062
Jan-03,180.1700001,186.4599993,105.0899995,30.10000038,39.44999966,95.66999984,185.7299994,144.8400013,76.93000013,353.2099987,258.2699995,247.0200006,52.31000022,70.81000072,47.5499993
Feb-03,14.43999995,39.48000014,90.48000133,10.97999984,27.86000037,37.73999977,144.1100008,103.4500011,103.9599989,202.1299993,35.93999976,106.1799997,99.66000009,124.3400006,86.2300005
Mar-03,43.18000024,57.5900003,117.7700013,112.9199995,101.1199996,119.1200001,147.1799993,120.5899999,80.13999958,51.53999949,36.39000035,60.96999988,130.8299991,93.97999884,132.9400005
Apr-03,52.86999989,75.02999938,152.9999995,27.25999993,44.99999964,59.96999985,151.1799996,141.1799994,140.3600003,84.36000088,47.08999969,78.29000007,140.9300002,175.9899998,158.2700008
May-03,78.80000013,93.66000062,68.21000025,60.29000056,65.77,57.21000019,47.02000003,48.25000042,61.91000059,53.4400005,45.8599999,58.00000052,77.08000009,33.37999958,48.57999997
Jun-03,66.08999915,63.84000117,119.2600009,68.86999896,46.18999964,68.16000009,66.06999919,106.2500003,36.16999991,46.31000083,37.82999996,65.86999991,18.68000017,30.95999973,103.6100006
Jul-03,85.37999999,96.07999958,51.3499997,62.50000045,52.9299998,129.2099997,71.86999972,62.9499999,47.34000006,59.52999981,65.03000053,83.13000004,9.360000074,13.53000012,56.36999992
Aug-03,71.77999989,67.36000043,96.98000045,86.62999982,75.10999908,119.2100006,101.52,78.30999988,70.40000069,41.84999973,54.21000031,63.54000018,20.61999917,13.73999986,82.29000098
Sep-03,103.5900008,93.37999991,86.00999993,107.3999994,98.76000002,185.3799984,148.8400009,94.85000002,75.32000014,45.87999997,53.76000054,71.90999984,22.71000005,19.07999989,56.02999985
Oct-03,130.3599997,171.4899992,143.279999,72.72000021,62.6400001,132.1799988,169.480001,112.2099993,127.3199994,113.0100005,117.2499991,130.6199998,141.6800022,102.3600012,117.3199994
Nov-03,88.15000033,91.08999907,182.4200007,49.80999997,61.24000002,118.4700009,120.3200006,128.1599991,153.9100013,70.64000019,73.42000046,87.94000058,86.33999912,99.19999941,117.4299989
Dec-03,228.1300024,204.8799993,155.1999995,81.73000053,64.14999941,113.2600008,144.4000007,111.9300002,91.40000018,216.4599991,170.2899992,243.1799998,122.7299994,100.82,111.1999995
Jan-04,79.6999995,107.1799998,199.6900001,70.89999962,33.38999975,102.8100002,264.919999,160.819999,108.300001,440.6899991,107.1199993,228.4399996,77.75000043,122.9200003,117.099999
Feb-04,46.0799999,50.54000038,55.57999983,31.67000014,20.32999983,71.0800004,118.5999982,42.95999935,75.03999963,82.31999926,22.77999993,53.32999973,70.41000001,120.3399999,97.65999907
Mar-04,96.06999936,73.21999941,68.02000073,43.32000047,20.35999998,60.38999984,101.2200008,112.1600005,54.88000013,109.690001,38.33999994,89.24000006,76.20999996,76.09999974,86.17999978
Apr-04,54.90000033,44.5000007,123.8399997,82.86000034,98.13999939,145.460001,227.2599967,129.8399999,179.04,42.5700002,52.40999984,55.35000023,94.4099998,137.4400022,210.3499994
May-04,102.2699993,93.58999839,97.32999843,71.63000083,53.09000024,85.3999995,80.29999994,107.3900004,61.01000023,68.51999961,124.4499995,98.90999995,30.56999974,45.61000088,87.85999949
