Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,300.973846,314.864960,291.713135,291.713135,235.958649,109846571
2010-02-01,287.082764,314.864960,277.822021,310.234589,250.940094,114454202
2010-03-01,310.234589,338.016785,300.973846,324.125702,262.176300,381932454
2010-04-01,324.125702,407.472290,319.495331,393.581207,318.356903,1675974031
2010-05-01,384.320465,398.211578,287.082764,328.756073,265.921661,436709967
2010-06-01,314.864960,421.363403,300.973846,398.211578,331.735291,581868547
2010-07-01,393.581207,527.861816,384.320465,500.079651,416.597809,776160920
2010-08-01,481.558167,583.426270,453.775970,546.383301,455.171631,583426198
2010-09-01,564.904785,685.294312,537.122559,620.469177,516.889893,765890136
2010-10-01,629.729919,713.076538,611.208435,666.772827,555.463623,749524261
2010-11-01,657.512146,666.772827,574.165527,583.426270,486.030792,275621227
2010-12-01,601.947693,657.512146,574.165527,629.729919,524.604675,325468248
2011-01-01,638.990662,648.251404,546.383301,564.904785,470.601288,282735133
2011-02-01,564.904785,629.729919,555.644043,611.208435,509.175049,119485656
2011-03-01,611.208435,657.512146,555.644043,620.469177,516.889893,166967311
2011-04-01,620.469177,648.251404,611.208435,620.469177,516.889893,152237381
2011-05-01,629.729919,657.512146,611.208435,638.990662,532.319458,95306688
2011-06-01,629.729919,648.251404,592.687012,611.208435,509.175049,73323551
2011-07-01,611.208435,638.990662,601.947693,629.729919,537.728210,131653159
2011-08-01,629.729919,629.729919,518.601135,537.122559,458.650574,111170983
2011-09-01,537.122559,564.904785,416.733032,453.775970,387.480652,98246521
2011-10-01,425.993774,555.644043,416.733032,481.558167,411.204010,173396069
2011-11-01,458.406342,481.558167,435.254517,435.254517,371.665131,59776565
2011-12-01,435.254517,601.947693,430.624146,564.904785,482.373932,376866981
2012-01-01,564.904785,666.772827,555.644043,657.512146,561.451599,203827786
2012-02-01,666.772827,722.337280,611.208435,676.033569,577.267090,203615055
2012-03-01,676.033569,851.987549,676.033569,842.726807,719.606995,449857955
2012-04-01,842.726807,907.551941,814.944580,907.551941,774.961304,235115801
2012-05-01,916.812683,1027.941528,824.205322,851.987549,727.514771,261155314
2012-06-01,851.987549,972.377075,805.683838,972.377075,845.005432,233058726
2012-07-01,963.116333,990.898560,907.551941,926.073425,804.767090,126726981
2012-08-01,926.073425,1046.463013,907.551941,972.377075,845.005432,143119315
