Waktu;WIKA;BISI;BSDE;NIKL
November 2019;-0.1237;-0.1880;-0.1166;-0.4724
December 2019;0.1470;-0.0278;0.0040;0.2857
January 2020;-0.0503;-0.0476;-0.1116;-0.1259
February 2020;-0.0079;-0.0600;-0.1031;-0.4475
March 2020;-0.5547;-0.3404;-0.3300;0.2515
April 2020;0.1377;0.4677;0.0522;-0.0147
May 2020;0.1421;-0.0220;-0.0993;0.0100
June 2020;0.1060;-0.0730;0.1654;0.1823
July 2020;-0.0083;0.0182;-0.0676;0.8021
August 2020;0.0420;0.0774;0.1232;-0.0289
September 2020;-0.1169;0.0497;-0.0452;-0.1905
October 2020;0.1005;-0.0526;0.2027;0.1250
November 2020;0.3444;0.1333;0.1798;0.2941
December 2020;0.2253;0.0098;0.1667;0.4596
